cohort_code,modality,platform,n_samples,n_expression_files,n_files_local,expression_file_status,source_expressions,mapped_features,unique_canonical_genes,enters_core_gene_space
GSE50948,bulk RNA-seq,NOT_MEASURED,1,1,0,SOURCE_NOT_LOCAL,,0,0,False
GSE5462,microarray,NOT_MEASURED,116,1,0,SOURCE_NOT_LOCAL,,0,0,False
GSE55374,microarray,GPL10558,36,1,1,LOCAL_SOURCE_PRESENT,GSE55374_array,31058,20550,True
GSE65303,microarray,GPL16876,18,1,1,LOCAL_SOURCE_PRESENT,GSE65303_array,30137,18745,True
GSE67501,bulk RNA-seq,NOT_MEASURED,1,1,0,SOURCE_NOT_LOCAL,,0,0,False
GSE78220,bulk RNA-seq,NOT_MEASURED,27,0,0,SOURCE_NOT_LOCAL,,0,0,False
GSE87455,microarray,GPL10558,275,1,1,LOCAL_SOURCE_PRESENT,GSE87455_array,31058,20550,True
GSE91061,bulk RNA-seq,NOT_MEASURED,108,1,1,LOCAL_SOURCE_PRESENT,GSE91061_bulk,21813,21813,True
GSE93157,bulk RNA-seq,NOT_MEASURED,1,1,0,SOURCE_NOT_LOCAL,,0,0,False
ISPY1_GSE32603,two-channel microarray,GPL14668,248,1,0,SOURCE_NOT_LOCAL,,0,0,False
MGH,bulk RNA-seq,NOT_MEASURED,57,2,2,LOCAL_SOURCE_PRESENT,MGH_GSE115821_bulk|MGH_GSE168204_bulk,42069,21023,False
MORRISON_038,bulk RNA-seq,NOT_MEASURED,98,1,1,LOCAL_SOURCE_PRESENT,MORRISON_bulk,21070,21050,True
MORRISON_064,bulk RNA-seq,NOT_MEASURED,55,1,1,LOCAL_SOURCE_PRESENT,MORRISON_bulk,21070,21050,True
MORRISON_067,bulk RNA-seq,NOT_MEASURED,37,1,1,LOCAL_SOURCE_PRESENT,MORRISON_bulk,21070,21050,True
MORRISON_gide,bulk RNA-seq,NOT_MEASURED,90,1,1,LOCAL_SOURCE_PRESENT,MORRISON_bulk,21070,21050,True
MORRISON_liu,bulk RNA-seq,NOT_MEASURED,121,1,1,LOCAL_SOURCE_PRESENT,MORRISON_bulk,21070,21050,True
MORRISON_va,bulk RNA-seq,NOT_MEASURED,41,1,1,LOCAL_SOURCE_PRESENT,MORRISON_bulk,21070,21050,True
TRIO_US_B07,two-channel microarray,NOT_MEASURED,179,1,1,LOCAL_SOURCE_PRESENT,TRIO_US_B07_array,30229,19098,True
