sign_pattern_index,null_mean_delta_L
223,0.0361306016452661
224,-0.0785926989747382
225,-0.0786718610738868
226,-0.078614223948624
227,-0.0786933860477727
228,-0.0786207950244672
229,-0.0786999571236159
230,-0.0786423199983531
231,-0.0787214820975017
232,-0.0380139831389918
233,-0.0380931452381404
234,-0.0380355081128776
235,-0.0381146702120263
236,-0.0380420791887208
237,-0.0381212412878695
238,-0.0380636041626067
239,-0.0381427662617554
240,-0.0047457413749218
241,-0.0048249034740704
242,-0.0047672663488077
243,-0.0048464284479563
244,-0.0047738374246508
245,-0.0048529995237995
246,-0.0047953623985367
247,-0.0048745244976854
248,0.0358329744608245
249,0.0357538123616759
250,0.0358114494869386
251,0.03573228738779
252,0.0358048784110954
253,0.0357257163119468
254,0.0357833534372096
255,0.0357041913380609
256,-0.0763364816008083
257,-0.0764156436999569
258,-0.0763580065746942
259,-0.0764371686738428
260,-0.0763645776505374
261,-0.076443739749686
262,-0.0763861026244232
263,-0.0764652647235719
264,-0.0357577657650619
265,-0.0358369278642105
266,-0.0357792907389478
267,-0.0358584528380964
268,-0.035785861814791
269,-0.0358650239139396
270,-0.0358073867886768
271,-0.0358865488878255
272,-0.0024895240009919
273,-0.0025686861001405
274,-0.0025110489748778
275,-0.0025902110740264
276,-0.002517620050721
277,-0.0025967821498696
278,-0.0025391450246069
279,-0.0026183071237555
280,0.0380891918347544
281,0.0380100297356057
282,0.0380676668608685
283,0.0379885047617199
284,0.0380610957850253
285,0.0379819336858767
286,0.0380395708111394
287,0.0379604087119908
288,-0.0767628919080135
289,-0.0768420540071621
290,-0.0767844168818994
291,-0.076863578981048
292,-0.0767909879577426
293,-0.0768701500568912
294,-0.0768125129316284
295,-0.0768916750307771
296,-0.0361841760722671
297,-0.0362633381714157
298,-0.036205701046153
299,-0.0362848631453016
300,-0.0362122721219961
301,-0.0362914342211448
302,-0.036233797095882
303,-0.0363129591950307
304,-0.0029159343081971
305,-0.0029950964073457
306,-0.002937459282083
307,-0.0030166213812316
308,-0.0029440303579262
309,-0.0030231924570748
310,-0.002965555331812
311,-0.0030447174309607
312,0.0376627815275492
313,0.0375836194284006
314,0.0376412565536633
315,0.0375620944545147
316,0.0376346854778201
317,0.0375555233786715
318,0.0376131605039343
319,0.0375339984047856
320,-0.0728135802367848
321,-0.0728927423359335
322,-0.0728351052106707
323,-0.0729142673098193
324,-0.0728416762865139
325,-0.0729208383856625
326,-0.0728632012603998
327,-0.0729423633595484
328,-0.0322348644010384
329,-0.0323140265001871
330,-0.0322563893749243
331,-0.032335551474073
332,-0.0322629604507675
333,-0.0323421225499161
334,-0.0322844854246534
335,-0.032363647523802
336,0.0010333773630315
337,0.0009542152638828
338,0.0010118523891456
339,0.0009326902899969
340,0.0010052813133024
341,0.0009261192141538
342,0.0009837563394165
343,0.0009045942402679
344,0.0416120931987778
345,0.0415329310996292
346,0.041590568224892
347,0.0415114061257433
348,0.0415839971490488
349,0.0415048350499001
350,0.0415624721751629
351,0.0414833100760143
352,-0.07323999054399
353,-0.0733191526431387
354,-0.0732615155178759
355,-0.0733406776170245
356,-0.0732680865937191
357,-0.0733472486928677
358,-0.073289611567605
359,-0.0733687736667536
360,-0.0326612747082436
361,-0.0327404368073923
362,-0.0326827996821295
363,-0.0327619617812781
364,-0.0326893707579727
365,-0.0327685328571213
366,-0.0327108957318586
367,-0.0327900578310072
368,0.0006069670558263
369,0.0005278049566776
370,0.0005854420819404
371,0.0005062799827918
372,0.0005788710060972
373,0.0004997089069486
374,0.0005573460322113
375,0.0004781839330627
376,0.0411856828915727
377,0.041106520792424
378,0.0411641579176868
379,0.0410849958185381
380,0.0411575868418436
381,0.041078424742695
382,0.0411360618679577
383,0.0410568997688091
384,-0.0767175663700718
385,-0.0767967284692204
386,-0.0767390913439576
387,-0.0768182534431063
388,-0.0767456624198008
389,-0.0768248245189495
390,-0.0767671873936867
391,-0.0768463494928353
392,-0.0361388505343254
393,-0.036218012633474
394,-0.0361603755082112
395,-0.0362395376073599
396,-0.0361669465840544
397,-0.0362461086832031
398,-0.0361884715579403
